Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
The Eunuch's Consort Rules The World,Chapter 56,"May 02,21",2,180.0,manganelo.com,0.4086034297943115,https://manganelo.com/manga/ee923368,"Historical,Romance,Webtoons",Ongoing,4.64,https://avt.mkklcdnv6temp.com/32/w/21-1593663398.jpg
Remarried Empress,Chapter 77,"May 02,21",2,180.0,manganelo.com,0.47673892974853516,https://manganelo.com/manga/gi921111,Romance,Ongoing,4.83,https://avt.mkklcdnv6temp.com/43/x/19-1583500775.jpg
Dream Life: Yume No Isekai Seikatsu,Chapter 5.1,"May 02,21",2,180.0,manganelo.com,0.6141097545623779,https://manganelo.com/manga/ad924426,"Action,Adventure,Comedy,Drama,Fantasy,Mystery,Shounen,Slice of life,Supernatural",Ongoing,4.69,https://avt.mkklcdnv6temp.com/25/h/22-1601784436.jpg
Hataraku Saibou Black,Chapter 41,"May 02,21",2,180.0,manganelo.com,0.6084868907928467,https://manganelo.com/manga/lbza281491570207597,"Action,Drama,School life,Sci fi,Seinen",Ongoing,4.66,https://avt.mkklcdnv6temp.com/44/a/16-1583495053.jpg
Crush On You,Chapter 71,"May 02,21",2,180.0,manganelo.com,0.6654274463653564,https://manganelo.com/manga/crush_on_you,"Comedy,Drama,Josei,Romance,School life,Shoujo,Shounen ai",Completed,3.43,https://avt.mkklcdnv6temp.com/3/e/4-1583469777.jpg
My Little Baby Prince,Chapter 65,"May 02,21",2,180.0,manganelo.com,0.5649964809417725,https://manganelo.com/manga/nr926469,"Fantasy,Historical,Romance,Shoujo",Ongoing,4.14,https://avt.mkklcdnv6temp.com/9/l/24-1619539106.jpg
The Makeup Queen,Chapter 53,"May 02,21",2,180.0,manganelo.com,0.6744875907897949,https://manganelo.com/manga/wl926468,"Fantasy,Historical,Romance,Shoujo",Ongoing,4.47,https://avt.mkklcdnv6temp.com/9/k/24-1619538928.jpg
I’Ve Been Killing Slimes For 300 Years And Maxed Out My Level,Chapter 32,"May 02,21",2,180.0,manganelo.com,0.3988776206970215,https://manganelo.com/manga/xk918110,"Adventure,Comedy,Fantasy,Slice of life",Ongoing,4.69,https://avt.mkklcdnv6temp.com/34/a/17-1583496479.jpg
A Cat's World,Chapter 112,"May 02,21",2,180.0,manganelo.com,0.8104722499847412,https://manganelo.com/manga/a_cats_world,"Comedy,Romance,Shounen ai,Supernatural,Webtoons",Ongoing,4.22,https://avt.mkklcdnv6temp.com/3/x/17-1583495402.jpg
"Queen Of Posion: The Legend Of A Super Agent, Doctor And Princess",Chapter 173,"May 02,21",2,180.0,manganelo.com,0.37684035301208496,https://manganelo.com/manga/yu921699,"Romance,Webtoons",Ongoing,4.5,https://avt.mkklcdnv6temp.com/16/a/20-1583501646.jpg
